ID,CLASS,CRN,TREE,BRANCH,COURSE_CEILING,MAJOR,MAJOR2,SUBJ,NUMB,SEQ
1,SENI,25143,1,1,5,AFR,,AFR,495,0
1,SENI,25266,1,7,30,AFR,,DAN,284,0
1,SENI,25266,2,4,30,AFR,,DAN,284,0
1,SENI,25266,2,6,30,AFR,,DAN,284,0
1,SENI,25266,3,3,30,AFR,,DAN,284,0
1,SENI,25266,3,5,30,AFR,,DAN,284,0
1,SENI,25266,4,2,30,AFR,,DAN,284,0
1,SENI,20097,2,7,30,AFR,,ENG,110,D
1,SENI,20097,3,4,30,AFR,,ENG,110,D
1,SENI,20097,3,6,30,AFR,,ENG,110,D
1,SENI,20097,4,3,30,AFR,,ENG,110,D
1,SENI,24917,3,7,30,AFR,,GSS,101,0
1,SENI,24917,4,4,30,AFR,,GSS,101,0
1,SENI,25133,1,3,20,AFR,,GSS,201,0
1,SENI,25133,1,5,20,AFR,,GSS,201,0
1,SENI,25133,2,2,20,AFR,,GSS,201,0
1,SENI,25133,3,1,20,AFR,,GSS,201,0
1,SENI,25355,1,4,20,AFR,,HIS,230,0
1,SENI,25355,1,6,20,AFR,,HIS,230,0
1,SENI,25355,2,3,20,AFR,,HIS,230,0
1,SENI,25355,2,5,20,AFR,,HIS,230,0
1,SENI,25355,3,2,20,AFR,,HIS,230,0
1,SENI,25355,4,1,20,AFR,,HIS,230,0
1,SENI,24986,1,2,15,AFR,,SOC,218,0
1,SENI,24986,2,1,15,AFR,,SOC,218,0
